"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Civil.Justice","Criminal.Justice","Rule.of.Law","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Association.1","Assembly.1","X..Civil.Society","Press.Killed","Press.Killed.DATA","Press.Jailed","Press.Jailed.DATA","Laws.and.Regulations.that.Influence.Media.Content","Political.Pressures.and.Controls.on.Media.Content","Access.to.Cable.Satellite","Access.to.Foreign.Newspapers","State.Control.over.Internet.Access","Expression...Information","Legal.Gender","Parental.Authority..In.Marriage","Parental.Authority..After.Divorce","Parental.Rights","Male.to.Male.Relationships","Female.to.Female.Relationships","Same.Sex.Relationships","Divorce","Identity...Relationships","PERSONAL.FREEDOM..Score.","PERSONAL.FREEDOM..Rank.","Government.Consumption","Government.Consumption.DATA","Transfers.and.subsidies","Transfers.and.subsidies.DATA","Government.enterprises.and.investment","Government.enterprises.and.investment.DATA","Top.marginal.income.tax.rate","Top.marginal.income.tax.rate.DATA","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank."
"1","Albania","35","5","33","2","87.8","0.6","75","-1.1","67.6","-3","51.5","-1.4","81.7","0.9","87.6","-0.2","70","0","70","0","1.2","23","15","21.7","28.9","2.8","31.6 ","2.1","2.3","11377","16.1","1.6","1093.50","72.6","57","48","2","6","7","4","5","4","7","5","3","8","9","2","7","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","7","5","5","0","5","0","5","0","7","5","8","8","5","0","10","0","5","0","6","7",NA,NA,"10","0","9","6","8","0","9","2","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","5","0","5","3","10","0","10","0","10","0","8","6","0","0","10","0","10","0","10","0","10","0","10","0","10","0","5","0","6","3","7","60","57","8","23","12","1","7","5","9","6","8","0","15","9","9","0","23","0","7","0"
"2","Algeria","25","-5","36","0","81","1","59.4","20.7","62.1","-4.5","48.2","-2.3","68.1","-3.1","60.8","0","30","5","30","0","12.1","35","23","12.2","38","38.7","551.8 ","4.1","3.3","14259","9.5","2.9","1488.00","8.8","14","155","4",NA,NA,NA,"3","8","9","5","1","4","10","0","9","3","2","1","5","0","9","9","0","2","10","0","0","0","8","8","10","0","7","5","0","0","0","0","0","0","5","8","8","0","5","0","5","0","5","0","5","0",NA,NA,"5","0","6","9","3","0","4","9","5","0","5","0",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"5","0","5","0","10","0","0","0","10","0","0","0","2","7","4","0","10","0","7","5","7","5","7","4",NA,"0","0","5","0","2","5","0","0","0","0","0","0","0","0","0","8","5","28","147","2","15","32","69","7","8","8","5","0","0","","7","0","35","0","2","0","53","0","4","5","3"
"3","Angola","15","0","19","-4","87.8","3.3","50.1","0","50.3","2.9","44.8","1.6","72.2","6.8","70.2","0","40","0","40","0","4.9","17","30","6","40.8","24.4","175.6 ","4.2","4.7","7203","6.8","7.3","-3881.00","38","64","142","4",NA,NA,NA,"3","5","8","1","4","8","5","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","8","5","10","0","10","0","5","0","5","0","5","0","8","3","8","3","0","0","5","0","10","0","5","0",NA,NA,"10","0","8","9","7","5","8","8","2","5","2","5",NA,NA,"2","5",NA,NA,"5","0",NA,NA,"7","5","4","0","10","0","0","0","10","0","0","0","2","7","2","5","7","5","5","0","7","5","6","5","10","0","10","0","10","0","10","0","0","0","0","0","0","0","10","0","7","5","6","11","117","7","60","14","16","8","9","4","6","0","0","54","2","10","0","17","0","9","0","25","0","9"
"4","Argentina","15","0","34","0","66.1","-0.7","51.3","10.1","56","3.2","43.9","0.6","44","-15.6","67.4","-1.4","30","0","30","0","6.3","35","35","30.6","40.3","42","947.6 ","0.5","4.4","22582","8.2","37.6","6612.00","48.6","47","107","3","7","1","5","8","4","3","5","7","7","6","5","9","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0",NA,NA,"7","5","9","0","6","9","7","8","7","5","10","0",NA,NA,"5","0",NA,NA,"7","5",NA,NA,"7","5","7","5","10","0","0","0","10","0","0","0","5","7","5","5","10","0","10","0","10","0","8","7","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","8","10","42","5","34","21","86","6","0","15","0","6","0","","7","0","35","0","1","0","58"
"5","Armenia","20","0","37","1","83.8","-0.6","80.7","-2.1","77.5","-5.2","62.2","-2.1","72.8","2.2","85.6","0.2","80","5","70","0","2.2","26","20","23.4","25.4","3.3","24.3 ","3.4","4.2","7374","17.1","3.1","382.8","44.2","24","57","2",NA,NA,NA,"5","0","8","8","3","0","10","0","10","0","0","0","7","5","9","3","2","1","9","9","0","3","9","3","10","0","5","0","10","0","10","0","10","0","8","3","8","8","5","0","5","0","10","0","6","7",NA,NA,"5","0","8","6","5","1","6","2","7","5","7","5",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"7","5","6","5","10","0","0","0","10","0","0","0","3","3","4","3","7","5","7","5","7","5","7","2","7","0","10","0","10","0","10","0","10","0","10","0","10","0","5","0","8","0","6","91","84","7","26","15","30","7","7","8","8","8","0","15","7","5","0","36","0","5","0","36","0","5"
"6","Australia","90","0","80","-1","63.2","-0.5","62","0.2","89.4","-4.7","77.2","-4.4","85.2","-0.1","86.4","0","80","0","90","0","1.8","45","30","27.5","35.6","23.6","1095.4 ","2.7","2.7","46433","6","2.5","51854.20","34.3","58","4","1","8","4","7","5","7","4","7","8","9","6","0","9","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","3","8","9","9","1","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","8","0","7","8","10","0","10","0","10","0","9","4","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","18","11","4","51","24","66","6","7","12","7","10","0","14","4","5","0","47","0","5","0"
"7","Austria","90","0","72","3","50.7","0.6","22.4","2.6","79.4","1.4","72.5","-4.2","81.7","1.4","88","0","90","0","70","0","1","50","25","42.5","50.9","8.5","395.5 ","0.3","1.3","46420","5","1.5","4674.90","86.8","41","16","1","9","0","7","9","7","7","8","2","9","7","0","7","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","1","5","6","7","9","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","7","3","8","0","10","0","10","0","10","0","9","3","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","25","8","3","7","27","3","3","1","25","8","10","0","13","0","4","0","55","0","3","0"
"8","Azerbaijan","20","0","29","1","88","-0.1","56.7","-3","70.3","-4.2","75.2","-3.9","77","-2.8","75.8","-0.2","60","5","50","0","4.6","25","20","13.3","38","9.4","165.3 ","2.8","3.2","17618","5.2","1.4","4430.40","16.4","8","130","4",NA,NA,NA,"4","3","9","1","2","1","10","0","5","2","14","4","7","5","10","0","0","1","10","0","0","1","8","5","10","0","7","5","5","0","10","0","7","5","8","3","8","7","5","0","5","0","5","0","5","0",NA,NA,"2","5","8","4","5","5","5","5","2","5","5","0",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"2","5","3","0","10","0","0","0","4","9","5","0","0","3","0","3","10","0","0","0","7","5","4","7","0","0","10","0","10","0","10","0","10","0","10","0","10","0","5","0","6","3","5","68","131","6","3","18","5","7","9","8","3","0","0","77","1","9","0","25","0","4","0","41","0","6"
"9","Bahamas","70","0","71","0","97.9","0.1","84.3","1.1","70.7","1.8","72.8","-2.5","78.5","-0.3","64","11.8","40","10","60","0","13","0","0","14.4","22.8","0.4","9.0 ","1.3","1.1","25049","15.4","1.2","1595.90","60.4","40","50","2","6","9","6","0","6","3","6","4","0","0","28","4","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,NA,NA,NA,NA,"5","0","10","0","10","0",NA,"10","0",NA,NA,NA,"9","4","6","4","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","8","3","7","3",NA,NA,NA,"8","9",NA,"10","0","10","0","10","0","10","0","10","0","10","0",NA,"10","0","7","45","64","7","1","15","9","9","0","4","0","7","0",NA,"10","0","0","0","10","0","9","0","10","0","8","3",NA,"6","7",NA,"10","0","6","7","4","7","6","1",NA,NA,"0"
"10","Bahrain","60","0","49","1","99.9","0","75.4","2.3","71.9","-0.6","79.1","-4","74.6","0.4","82.6","4","70","5","80","0","3.7","0","0","3.1","28.6","1.2","61.9 ","4.7","4","51714","4.1","2.5","957.4","43.8","85","75","2",NA,NA,NA,"5","9","9","8","0","5","10","0","10","0","0","0","2","5","9","8","0","7","9","7","1","4","8","4","10","0","7","5","0","0","0","0","0","0","5","8","8","0","10","0","5","0","5","0","6","7",NA,NA,"10","0","8","4","4","0","7","5","5","0","0","0",NA,NA,"0","0",NA,NA,"10","0",NA,NA,"10","0","5","0","10","0","0","0","0","0","7","0","0","7","0","8","7","5","7","5","2","5","4","1",NA,"0","0","0","0","0","0","10","0","10","0","10","0","0","0","3","3","6","14","114","3","7","27","5","9","6","2","0","10","0","14","1","10","0","0","0","10","0","17","0","10","0"
"11","Bangladesh","20","0","25","-2","72.7","0","93.6","1.6","52.6","-9.6","62.5","-1.2","68.2","0.5","63.6","4.6","45","0","30","0","10.7","25","45","9","14.6","158.2","533.7 ","6.1","6.2","3373","4.3","7","1526.70","33.9","80","138","4","2","3","3","7","3","4","3","1","9","0","2","5","5","0","9","9","0","3","5","0","9","8","0","5","9","9","0","6","7","9","10","0","7","5","0","0","0","0","0","0","5","8","7","6","5","0","5","0","5","0","5","0",NA,NA,"7","5","6","1","4","2","5","9","5","0","7","5",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"7","5","7","0","10","0","0","0","9","9","2","0","3","7","3","3","7","5","7","5","7","5","7","0","0","0","0","0","0","0","0","0","0","0","10","0","5","0","0","0","1","3","5","30","146","9","5","7","9","9","7","1","5","7","0","22","5","8","0","30","0","8","0"
"12","Barbados","80","0","74","-1","75.8","2","37.6","-4.5","70.2","-1.4","67.3","-1.9","80.8","2.6","62.2","-1.6","75","10","60","0","13.9","35","25","23.9","45.6","0.3","4.5 ","-0.3","0.1","16183","12","1.9","275.1","100.4","7","67","2","7","7","6","5","5","9","6","7","5","6","10","9","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,NA,NA,NA,NA,"7","8","10","0","10","0",NA,"10","0",NA,NA,NA,"9","4","7","5","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","9","0","7","5",NA,NA,NA,"9","1",NA,"10","0","10","0","10","0","0","0","0","0","0","0",NA,"5","0","7","71","54","7","6","14","3","6","0","15","3","6","0","29","0","6","0","37","0","6","0","37","0","6","0","6","4","6","4","4","1","6","5","9","8",NA,"3","8","6","2","7"
"13","Belarus","20","0","31","2","88.6","2.2","44.8","-9.9","69","-3","74.9","-5.2","50.4","5.9","79","-2","20","0","10","0","3","13","18","25.4","42.9","9.5","172.0 ","1.6","3.5","18161","5.9","18.1","1798.20","37.9","14","128","4","4","5","5","9","5","0","5","1","8","6","3","6","10","0","10","0","0","0","5","0","10","0","0","0","10","0","0","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","9","2","0","0","0","0","10","0","3","3",NA,NA,"2","5","8","5","4","5","5","2","2","5","2","5",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"2","5","2","5","10","0","0","0","10","0","0","0","0","7","2","5","7","5","5","0","5","0","5","8","7","0","10","0","10","0","10","0","10","0","10","0","10","0","5","0","8","0","6","6","120","5","1","22","7","4","5","20","8","10","0","12","2","10","0","13","0","5","0"
"14","Belgium","80","0","76","1","44.2","0.6","11","0.8","85.4","-5.3","60.5","-3.2","84","2.3","88","0","85","0","70","0","1","50","33","44.6","54.5","11.2","481.5 ","1","1.1","42973","8.5","0.5","-4956.70","105.6","15","27","1","8","7","7","3","7","2","7","8","9","2","1","9","10","0","10","0","0","0","10","0","8","9","3","2","5","1","24","3","8","8","10","0","10","0","10","0","10","0","10","0","10","0","9","3","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","3","6","1","8","1","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","9","0","9","3","10","0","10","0","10","0","9","8","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","99","19","2","5","31","5","2","0","29","8","10","0","9","5","2","0","50-55","0","0","67-70"
"15","Belize","35","5","6.7","0","82.1","-0.3","71.9","-6.4","63.3","4.2","60.3","-1.5","79.2","-0.1","70","-0.4","55","5","50","0","10","25","25","23.2","30.6","0.4","2.9 ","3.4","2.7","8248","11.5","0.9","141.1","76.3","15","64","2","4","8","4","7","3","3","4","3","0","0","37","6","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,"10","0","10","0","10","0","10","0","6","7","10","0","10","0",NA,"10","0",NA,NA,NA,"9","6","8","5","9","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","7","3","6","8",NA,NA,NA,"8","5",NA,"10","0","10","0","10","0","10","0","10","0","10","0",NA,"10","0","7","43","66","6","6","17","4","8","4","6","3","4","0","37","4","9","0","25","0",NA,NA,"9","0","7","0","8","0","4","2","7","4","6","4",NA,"3","3","7"
"16","Benin","30","0","39","3","68.1","-0.2","84.9","-1.8","51.3","-3.9","53.8","0.6","82.2","2.3","58.8","0.4","75","5","50","0","15.6","45","30","16.3","22.4","10.6","19.8 ","5.5","4.5","1870","1","-1","377.4","30.9","74","90","3",NA,NA,NA,"4","1","7","5","6","2","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","8","7","7","5","5","0","5","0","5","0","7","1","8","0","5","0","10","0","5","0","6","7",NA,NA,"10","0","8","6","9","6","9","4","10","0","10","0",NA,NA,"10","0",NA,NA,"7","5",NA,NA,"10","0","9","5","10","0","0","0","10","0","0","0","5","7","7","3","10","0","10","0","10","0","9","0",NA,"10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","50","61","7","5","14","6","9","8","1","3","4","0","31","8","4","0","45","0","3","0","46","0","3","5"
"17","Bhutan","60","0","65","2","83.1","0.5","67.5","7.4","65.2","3.3","77.6","-3.5","66.9","0.9","60","10.6","20","0","30","0","10","25","30","13","32.9","0.8","5.9 ","6.4","7.4","7641","2.8","7.7","5.8","107.5","81","83","3",NA,NA,NA,"5","9","9","5","1","1","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","7","5","5","0","5","0","5","0","7","5","8","8","5","0","0","0","10","0","5","0",NA,NA,NA,"9","4","5","1","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","4","0","5","0",NA,NA,NA,"7","3","0","0",NA,"10","0","10","0","0","0","0","0","0","0","5","0","3","8","6","60","96","4","4","24","9","9","9","0","9","7","0","22","4","9","0","25","0","8","0","26","0","8","5","7","5","6","2","5","3","6","7","9","2"
"18","Bolivia","10","0","35","1","86.4","-0.4","55.5","-5.4","58.8","5.1","31.7","6.2","65","-4.7","76.6","-1","15","5","40","0","4.2","13","25","23.8","38.5","11.2","70.0 ","5.4","5.3","6221","2.7","5.8","647.8","32.4","72","92","3","3","7","3","4","2","1","3","1","7","5","6","3","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","5","0","5","0","5","0","8","3","8","4","10","0","10","0","10","0","10","0",NA,NA,"7","5","8","9","8","9","8","4","7","5","7","5",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"7","5","6","5","10","0","0","0","10","0","0","0","4","7","4","3","10","0","10","0","10","0","8","4","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","21","73","5","8","20","2","8","8","4","8","0","0","62","6","10","0","13","0","10","0"
"19","Bosnia and Herzegovina","20","0","39","-3","83.9","1","33.1","5.8","54.6","1.1","59.4","-4","84.3","0.3","87","-0.2","65","-5","60","0","1.5","10","10","37.6","47.2","3.9","38.1 ","0.8","0.8","9833","27.9","-0.9","564","44.9","23","59","2","6","3","5","0","5","1","5","5","9","5","1","3","10","0","10","0","0","0","5","0","10","0","0","0","10","0","0","0","9","0","10","0","10","0","5","0","5","0","5","0","8","3","8","9","5","0","5","0","10","0","6","7",NA,NA,"10","0","8","4","7","1","8","5","10","0","7","5",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","9","5","10","0","0","0","10","0","0","0","6","3","4","3","10","0","10","0","10","0","8","7","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","7","86","47","5","6","21","0","5","4","17","6","4","0","32","7","10","0","10","0","3","0"
"20","Botswana","70","0","63","-1","79.1","-0.4","68.4","6.5","66.4","-0.4","68.5","-1.5","76.3","2.4","84","11.8","65","-5","70","0","0.5","25","22","31.3","32.4","2.1","33.7 ","4.9","6","16036","18.2","3.9","393.2","14.5","15","64","2","5","3","6","1","5","5","5","6","4","0","15","0","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","7","5","5","0","5","0","5","0","7","5","7","2","10","0","10","0","5","0","8","3",NA,NA,NA,"9","8","8","2","9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","6","0","5","3",NA,NA,NA,"7","8","7","0","5","0","5","0","5","0","0","0","0","0","0","0","5","0","4","3","6","88","86","3","6","27","6","7","2","10","9","7","0","22","2","9","0","25","0","9","0","25","0","9","0","6","7","5","3","5","4"
"21","Brazil","45","-5","43","1","69.7","1.3","55.2","4.3","61.4","7.8","52.5","0.4","64.2","-5.2","69.4","-0.2","55","5","50","-10","7.8","27.5","34","33.4","38.6","202.8","3263.8 ","0.1","3.2","16096","6.8","6.3","62494.80","65.2","21","123","4","5","0","5","3","3","7","4","7","0","0","29","5","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","5","0","5","0","5","0","8","3","6","1","10","0","10","0","10","0","10","0",NA,NA,"5","0","8","2","9","1","7","4","10","0","10","0",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"7","5","6","5","8","6","3","0","10","0","0","0","5","3","4","5","10","0","10","0","10","0","8","3","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","5","6","67","94","4","7","24","0","5","8","16","0","4","0","30","5","8","0","28","0","4","0"
"22","Brunei Darussalam","30","-5","60","0","87","0","57.3","-6.3","71.3","3","90.2","0.2","76.8","0.2","85.2","3.4","65","-5","50","0","2.4","0","20","30","37.7","0.4","30.2 ","-0.7","0.9","73233","3.8","-0.2","567.9","2.6","80","138","4",NA,NA,NA,"6","2","9","8","0","5","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,"0","0","0","0","0","0","0","0","6","6","10","0","5","0",NA,"7","5",NA,NA,"0","0",NA,NA,"0","0","0","0","0","0",NA,NA,"0","0",NA,NA,"2","5",NA,NA,"2","5","1","0","10","0","0","0","10","0","0","0","0","7","3","8","2","5","2","5","2","5","4","6","0","0","0","0","0","0","0","0","0","0","10","0","5","0",NA,"1","7","4","66","153","0","0","55","4",NA,NA,NA,NA,"10","0","0","0","10","0","7","0","10","0","5","0","5","2","3","5","5","7","8","3"
"23","Bulgaria","30","0","43","2","91.1","0.1","60.4","-4.1","66.9","-1.6","71.6","-5","82.6","-0.6","88","0","65","0","60","0","1","10","10","26.3","36.3","7.2","128.6 ","1.7","1.2","17860","11.6","-1.6","1710.30","26.9","78","41","1","5","0","5","6","4","1","4","9","9","5","1","1","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","1","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","8","10","0","10","0","10","0","10","0",NA,NA,"7","5","8","1","5","8","7","1","10","0","10","0",NA,NA,"7","5",NA,NA,"10","0",NA,NA,"10","0","9","5","10","0","0","0","10","0","0","0","6","0","5","8","10","0","10","0","10","0","8","8","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","16","41","5","7","20","5","5","8","15","7","8","0","15","4","10","0","10","0","7","0"
"24","Burkina Faso","30","5","38","0","82.8","0.4","76.8","-3","46.3","-3.3","58.9","1.1","84.9","4.9","68.2","0","65","0","40","0","8.4","27.5","27.5","14.5","27.8","17.4","29.3 ","4","6.4","1682","3.1","-0.3","341.9","28.3","75","88","3","5","1","4","9","4","5","4","9","9","9","0","4","10","0","10","0","0","0","7","5","9","3","2","1","9","8","1","0","9","3","2","4","10","0","5","0","5","0","5","0","5","8","8","3","10","0","10","0","5","0","8","3",NA,NA,"7","5","8","1","8","4","8","0","7","5","7","5",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"7","5","7","5","10","0","0","0","10","0","0","0","4","7","7","0","7","5","7","5","7","5","7","7",NA,"10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","46","63","3","1","29","4","10","0","0","2","2","0","47","1","9","0","25","0","4","0","42"
"25","Burundi","20","0","20","-1","73.8","0.3","70.5","9.2","54.2","-7.2","67.6","-0.5","73.8","4","74.2","2","55","-5","30","0","5.4","35","35","13.1","31.4","9.2","8.4 ","4.7","4.5","911","6.9","4.4","32","30.5","17","154","4",NA,NA,NA,"3","0","7","6","6","0","5","0","10","0","0","0","2","5","7","7","7","0","6","0","20","2","6","2","10","0","7","5","5","0","0","0","2","5","6","7","6","8","0","0","0","0","5","0","1","7",NA,NA,"5","0","9","3","8","1","7","5","0","0","0","0",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"2","5","1","5","10","0","0","0","10","0","0","0","1","7","0","8","0","0","0","0","0","0","3","2",NA,"5","0","10","0","7","5","0","0","0","0","0","0","10","0","5","8","4","41","156","6","0","19","7","10","0","0","5","2","0","47","2","8","0","30","0","5","0","38","0","6","5"
"26","Cambodia","25","0","21","1","90.5","0","87.4","-0.1","32.3","3.1","62.5","0.3","78.1","-0.6","72.2","0","60","0","50","0","8.9","20","20","12.4","20.5","15.3","50.0 ","7","6.9","3263","0.4","3.9","1730.40","29.5","20","61","2","3","0","2","0","2","7","2","6","9","3","1","8","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","10","0","10","0","10","0","10","0","9","6","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","6","6","2","8","3","10","0","7","5",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"10","0","7","5","10","0","0","0","10","0","0","0","2","0","3","3","10","0","10","0","10","0","7","9",NA,"10","0","10","0","10","0","10","0","10","0","10","0","5","0","8","3","7","24","72","9","9","6","4","9","7","1","6","2","0","47","6","10","0","20","0","10","0","20"
"27","Cameroon","25","0","27","2","75.6","3.9","85.6","-2.2","46.9","5.3","48.9","1.1","81.2","5.6","61.6","2","40","5","50","0","11.7","35","33","11.3","21.9","22.5","67.2 ","5.1","4.5","2981","4.3","1.9","501.2","23.9","58","144","4","2","6","3","7","2","8","3","0","8","3","4","2","0","0","6","9","9","4","2","5","6","5","10","5","7","2","13","8","4","6","9","9","7","5","5","0","5","0","5","0","7","5","6","8","0","0","5","0","5","0","3","3",NA,NA,"7","5","8","5","7","7","7","9","7","5","2","5",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"7","5","5","5","10","0","0","0","9","6","1","0","2","7","4","3","7","5","7","5","7","5","7","0",NA,"10","0","10","0","10","0","0","0","0","0","0","0","5","0","5","0","5","33","142","7","4","14","9","9","6","2","1","7","0","20","5","5","0","39","0","4","0","45"
