CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2016 Score;Change in Yearly Score from 2015;Property Rights;Change in Property Rights from 2015;Freedom from Corruption;Change in Freedom from Corruption from 2015;Fiscal Freedom ;Change in Fiscal Freedom from 2015;Gov't Spending;Change in Gov't Spending from 2015;Business Freedom;Change in Business Freedom from 2015;Labor Freedom;Change in Labor Freedom from 2015;Monetary Freedom;Change in Monetary Freedom from 2015;Trade Freedom;Change in Trade Freedom from 2015;Investment Freedom ;Change in Investment Freedom from 2015;Financial Freedom;Change in Financial Freedom from 2015;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Country;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
84;Kazakhstan;Kazakhstan;Asia-Pacific;68;12;63,6;0,3;30;5;29;3;93;-0,2;87,7;2,7;72,3;-1,4;82,7;-4,3;74;-0,6;77,4;-1,6;40;0;50;0;3,8;10;20;14;20,2;Kazakhstan;17,4;$418,5 ;4,3;6;$24.020;4,1;6,7;9.562,00;15,1
85;Kenya;Kenya;Sub-Saharan Africa;115;19;57,5;1,9;30;0;25;-2;79,4;1,4;80,8;8,7;48,6;0,7;62,2;-1,6;73,5;0,7;65,6;1,6;60;10;50;0;9,7;30;30;16,2;25,3;Kenya;42,9;$132,4 ;5,3;6;$3.084;9,2;6,9;989;48,6
86;Kiribati;Kiribati;Asia-Pacific;165;38;46,2;-0,2;30;0;29,2;0;73,3;0,3;0;0;51,6;-5,2;83,9;0;81;0,4;58,2;2,8;25;0;30;0;15,9;35;35;14,9;96,6;Kiribati;0,1;$0,2 ;3,8;1,7;$1.713;;2,1;1,2;7,993
87;Korea, North ;NorthKorea;Asia-Pacific;178;42;2,3;1;5;0;8;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;;100;100;100;100;Korea, North;24,7;$15,50 ;0,9;;;;;134,3;
88;Korea, South;SouthKorea;Asia-Pacific;27;7;71,7;0,2;70;-5;55;0;73,8;1,3;69,7;1,8;91,1;1,4;50,6;-0,5;82,6;1;74,6;2;70;0;80;0;7,7;38;24,2;24,3;31,8;Korea, South;50,4;$1.778,8 ;3,3;3,8;$35.277;3,5;1,3;9.898,50;35,7
89;Kuwait;Kuwait;Middle East / North Africa;74;7;62,7;0,2;45;0;44;1;97,7;0;57,7;-3,4;63,4;4,8;62,7;-1,5;74,2;0,2;77,2;1;55;0;50;0;3,9;0;15;0,7;37,5;Kuwait;4;$284,0 ;1,3;3,3;$71.020;3;2,9;485,8;7,1
90;Kyrgyz Republic;KyrgyzRepublic;Asia-Pacific;96;19;59,6;-1,7;20;0;27;3;93,7;0,1;56,3;3,1;65,3;-8,4;80,4;-4,6;68,4;-5,4;75;-5,2;60;0;50;0;2,5;10;10;20,8;38,1;Kyrgyz Republic;5,7;$19,2 ;3,6;3,7;$3.361;8,1;7,5;210,5;53
91;Lao P.D.R.;Laos;Asia-Pacific;155;35;49,8;-1,6;15;0;25;-1;86,1;-0,1;73,8;-13;55,9;-3,6;57,6;0,5;71,3;-3,2;58,6;0;35;5;20;0;13,2;24;24;15,3;29,6;Laos;6,9;$34,4 ;7,4;7,9;$4.987;1,4;4,1;720,8;62,5
92;Latvia;Latvia;Europe;36;17;70,4;0,7;50;0;55;2;84,8;0,4;58,4;-0,8;78,6;-3,5;59,5;-2;84,8;1;88;0;85;0;60;10;1;23;15;27,7;37,2;Latvia;2;$48,2 ;2,4;2,7;$23.707;10;0,7;473,5;37,8
93;Lebanon;Lebanon;Middle East / North Africa;98;10;59,5;0,2;20;0;27;-1;91,3;0;75,7;5,1;59,1;4,4;57,3;-3,4;79;7;75,8;0;60;0;50;-10;7,1;20;15;15,5;28,5;Lebanon;4,5;$81,1 ;2;3,2;$17.986;6,4;1,9;3.070,10;134,4
94;Lesotho;Lesotho;Sub-Saharan Africa;152;38;50,6;1;30;-5;49;0;59,1;-9,4;0;0;53,3;-1,4;62,1;-1,8;76,9;1,7;85,8;21,2;50;5;40;0;2,1;35;25;47,3;62,6;Lesotho;1,9;$5,3 ;2,2;4,5;$2.764;26,2;3,9;46,4;45,9
95;Liberia;Liberia;Sub-Saharan Africa;143;34;52,2;-0,5;25;0;37;-1;83,8;0,8;67,7;-2,2;55,1;-5;44,5;0,6;71;-1,7;72,8;-1,6;45;5;20;0;6,1;25;25;19,2;32,8;Liberia;4,2;$3,7 ;0,5;6,2;$882;3,8;9,9;302;33,2
96;Libya;Libya;Middle East / North Africa;;;;;10;0;18;3;95;0;0;-37,5;55,5;8,7;63,1;-3,6;74;2,6;;;5;0;;;;10;20;0,7;69,8;Libya;6,2;$97,6 ;-24;2;$15.706;19,2;2,8;50;39,3
97;Liechtenstein;Liechtenstein;Europe;;;;;;;;;;;;;;;;;;;90;0;85;0;80;0;0;7;12,5;;;Liechtenstein;37.624;$5,80 ;1,8;;$158.976 ;2,3;-0,7;;
98;Lithuania;Lithuania;Europe;13;6;75,2;0,5;65;5;58;1;92,9;0;63,8;2,5;80;-4,9;60;-2;84,6;3,4;88;0;80;0;80;0;1;15;15;16;34,7;Lithuania;2,9;$79,6 ;2,9;3,6;$27.051;11,3;0,2;217,1;37,7
99;Luxembourg;Luxembourg;Europe;19;9;73,9;0,7;90;0;82;2;61,1;-1,2;43;0,8;73,7;2,4;42,6;0,5;83,2;2,5;88;0;95;0;80;0;1;43,6;21;39,3;43,6;Luxembourg;0,6;$51,4 ;2,9;2,5;$92.049;6,1;0,7;7.087,00;24,6
100;Macau;Macau;Asia-Pacific;37;9;70,1;-0,2;60;0;49,7;0;73,1;1,3;93,9;2,1;60;0;50;0;69,6;-5,3;90;0;85;0;70;0;0;12;39;32;14,3;Macau;0,6;80,8;-0,4;13,7;139220;;6;3.046,10;0
101;Macedonia;Macedonia;Europe;47;22;67,5;0,4;35;0;45;1;92,1;0,7;69,6;4;76,4;-2,8;66,7;-4;83,5;4,5;86,4;0,2;60;0;60;0;1,8;10;10;24,2;31,8;Macedonia;2,1;$27,6 ;3,8;2,3;$13.349;27,9;-0,1;348;38
102;Madagascar;Madagascar;Sub-Saharan Africa;87;9;61,1;-0,6;45;0;28;0;91,1;0,2;93,4;-1,3;52,9;-9,4;48,5;3,4;74,5;-4,7;77,2;5,4;50;0;50;0;6,4;20;20;9,3;14,9;Madagascar;23,6;$33,9 ;3;2;$1.437;3,6;6,1;350,7;34,907
103;Malawi;Malawi;Sub-Saharan Africa;146;36;51,8;-3;40;0;33;-4;79;0,5;27,1;-21,9;44,5;-4,6;63,4;0,3;53,6;-0,2;72,4;0,2;55;0;50;0;3,8;30;30;17,4;49,3;Malawi;17,6;$13,7 ;5,7;4,7;$780;7,5;23,8;130;62
104;Malaysia;Malaysia;Asia-Pacific;29;8;71,5;0,7;55;0;52;2;85;0,6;74,3;0,3;91,4;-2,1;71,5;-4,2;84,5;3,7;81,4;1,4;60;5;60;0;4,3;25;25;15,8;29,3;Malaysia;30,3;$746,1 ;6;5,8;$24.654;2;3,1;10.799,20;57
105;Maldives;Maldives;Asia-Pacific;132;28;53,9;0,5;25;0;21,9;0;94;-1,5;60,8;10,2;81,5;-4,3;70,4;-3;73;-1,1;47,8;0;35;5;30;0;21,1;0;0;24,5;36,1;Maldives;0,3;$4,9 ;5;4,9;$14.383;11,6;2,5;363,3;74,8
106;Mali;Mali;Sub-Saharan Africa;121;23;56,5;0,1;25;0;32;4;70,3;0,7;82,8;-6,4;46,3;-0,9;50,8;0,1;83;1,9;70,2;-3;65;5;40;0;7,4;40;35;12,2;23,9;Mali;15,8;$27,3 ;6,8;3,4;$1.729;8,1;0,9;198,9;31,5
107;Malta;Malta;Europe;55;24;66,7;0,2;70;-5;55;-1;63,9;0,8;46,5;2,1;61,6;0,6;53,5;-2,1;83,5;1,7;88;0;85;5;60;0;1;35;35;34;42,2;Malta;0,4;$14,1 ;3,6;2,9;$33.216;5,9;0,8;9.278,90;68,1
108;Mauritania;Mauritania;Sub-Saharan Africa;128;25;54,8;1,5;25;0;30;0;81,6;1,4;75,3;15,5;48,7;-1,8;50,7;-1,4;77,7;1,1;69;0;50;0;40;0;8;30;25;17,7;28,7;Mauritania;3,6;$15,5 ;6,4;5,4;$4.288;31;3,5;492,5;59,1
109;Mauritius;Mauritius;Sub-Saharan Africa;15;1;74,7;-1,7;60;-5;54;2;92;0,1;81,5;-5,9;77,5;-0,5;65;-3,2;78,7;1,1;88,6;0,2;80;-5;70;0;0,7;15;15;18,6;24,9;Mauritius;1,3;$23,4 ;3,2;3,5;$18.553;7,7;3;418,4;52,8
110;Mexico;Mexico;North America;62;3;65,2;-1,2;50;0;35;1;74,9;-2,9;76,4;-1,6;70,7;-0,8;58,2;-1,7;77,4;-0,2;79,2;-6,4;70;0;60;0;5,4;35;30;19,7;28,1;Mexico;119,7;$2.140,6 ;2,1;3,3;$17.881;4,9;4;22.794,70;50,1
111;Micronesia;Micronesia;Asia-Pacific;147;32;51,8;2,2;30;0;30;0;93,2;0;0;0;57,5;6,5;79,1;0;82,1;5,2;85,6;4,6;30;5;30;0;2,2;10;21;11,6;59,6;Micronesia;0,1;$0,3 ;0,1;0,2;$3.015;;0,7;0,8;26,539
112;Moldova;Moldova;Europe;117;40;57,4;-0,1;40;0;35;0;85,4;0,3;55,6;3,8;64,6;-2,2;39,3;-1,3;76;-0,1;73,6;-6,2;55;5;50;0;5,7;18;12;31,5;38,5;Moldova;3,6;$17,7 ;4,6;5,4;$4.979;3,4;5,1;207,4;31,5
113;Mongolia;Mongolia;Asia-Pacific;100;22;59,4;0,2;30;0;39;1;84,4;0,5;51,5;15,9;67,7;-0,5;77,9;-4,8;68;-1,2;70;-4,8;45;-5;60;0;5;10;25;28,8;40,2;Mongolia;2,9;$34,8 ;7,8;14;$11.882;4,8;12,9;507,6;67,3
114;Montenegro;Montenegro;Europe;65;31;64,9;0,2;40;0;42;-2;91,6;-1;39,8;3,1;76,6;-0,5;72;-5,5;82,6;2,9;84,8;0;70;5;50;0;2,6;9;9;26;44,8;Montenegro;0,6;$9,4 ;1,1;1,5;$14.996;19,1;-0,7;497;58,4
115;Morocco;Morocco;Middle East / North Africa;85;9;61,3;1,2;40;0;39;2;71,5;0,6;65,6;4,6;66,4;-2,4;34,3;0,9;84,1;2,2;81,8;3,6;70;0;60;0;4,1;38;30;22,4;33,9;Morocco;33,2;$252,4 ;2,9;3,7;$7.606;10,2;0,4;3.582,30;63,9
116;Mozambique;Mozambique;Sub-Saharan Africa;139;31;53,2;-1,6;30;0;31;1;74,3;-0,9;63,5;-3;55,9;-5;41,9;4;79,5;-2,5;70,8;-4,6;35;-5;50;0;7,1;32;32;22,9;34,9;Mozambique;26,5;$31,1 ;7,4;7,3;$1.174;22,6;2,3;4.901,80;55,4
117;Namibia;Namibia;Sub-Saharan Africa;81;8;61,9;2,3;30;0;49;1;64,4;-2,3;63,9;7,9;68,2;3,9;84,5;-6,4;75,1;0,8;83,4;12,2;60;5;40;0;0,8;37;34;32,1;34,7;Namibia;2,2;$23,6 ;5,3;5,3;$10.765;18,6;5,3;413,7;25,2
118;Nepal;Nepal;Asia-Pacific;151;34;50,9;-0,4;30;0;29;-2;85,1;-0,5;91,1;2,2;64,9;-0,8;47,3;3;70,8;0,3;55,6;-6,2;5;0;30;0;14,7;25;25;15,3;17,2;Nepal;28,1;$66,8 ;5,5;4,5;$2.376;2,7;9;29,6;26,3
119;Netherlands;Netherlands;Europe;16;7;74,6;0,9;90;0;83;0;52,7;0,9;34,4;10,6;80;-4,3;64;-2,3;83,4;3,6;88;0;90;0;80;0;1;52;25;37,4;46,8;Netherlands;16,9;$798,6 ;0,9;0,3;$47.355;6,9;0,3;30.253,30;68,3
120;New Zealand;NewZealand;Asia-Pacific;3;3;81,6;-0,5;95;0;91;0;71;0,6;46;3;91,4;-4,1;85,9;-5,5;88,1;0,5;87,2;0,4;80;0;80;0;1,4;33;28;32,1;42,4;New Zealand;4,5;$158,9 ;3,2;2,2;$35.152;5,6;1,2;3.391,30;34
121;Nicaragua;Nicaragua;South and Central America / Caribbean;109;18;58,6;1;10;0;28;0;78;-0,4;82,8;6,2;61,2;3,2;55,7;-1;69;1,2;86,2;0,8;65;0;50;0;1,9;30;30;20;24;Nicaragua;6,2;$29,5 ;4,5;4,7;$4.736;5,3;6;840;32,2
122;Niger;Niger;Sub-Saharan Africa;129;26;54,3;-0,3;30;0;35;1;76,3;-0,3;76,8;-6,8;39,6;0,4;42,3;1,4;83;1,7;64,6;-1;55;0;40;0;10,2;35;30;15,8;27,8;Niger;17,1;$17,9 ;6,9;6,8;$1.048;5,1;-0,9;769;36,4
123;Nigeria;Nigeria;Sub-Saharan Africa;116;20;57,5;1,9;30;0;27;2;85,1;-0,1;94,6;18,5;48,7;0,4;72,9;-4,8;71,5;1,1;64,8;1;40;0;40;0;10,1;24;30;3,1;13,4;Nigeria;173,9;$1.049,1 ;6,3;6,2;$6.031;7,5;8,1;4.693,80;10,5
124;Norway;Norway;Europe;32;16;70,8;-1;90;0;86;0;53,2;1,1;41,8;-2;89,6;-2,5;48,5;0,3;76,2;-5,5;87,8;-1,6;75;0;60;0;1,1;47,8;27;40,8;44;Norway;5,2;$345,2 ;2,2;1,5;$66.937;3,4;2;8.682,50;30,1
125;Oman;Oman;Middle East / North Africa;52;6;67,1;0,4;55;0;45;-2;98,5;0;36,8;-7,4;70,1;1,7;72,5;-3,6;77,9;1,7;85;8,2;70;5;60;0;2,5;0;12;2,6;45,9;Oman;4,1;$162,4 ;2,9;4,5;$39.681;7,2;1;1.179,90;5,1
126;Pakistan;Pakistan;Asia-Pacific;126;26;55,9;0,3;30;0;29;1;79;1,3;86,2;0,1;61,2;-4,4;42,1;0;71,5;0,3;65;-0,6;55;5;40;0;10;30;33;10,5;21,4;Pakistan;186,3;$882,3 ;4,1;3,6;$4.736;5,2;8,6;1.747,00;64,2
127;Panama;Panama;South and Central America / Caribbean;66;13;64,8;0,7;30;0;37;2;84,4;-0,1;77,9;-0,9;74,4;2,9;42,9;1,4;78,6;2,2;77,8;-0,6;75;0;70;0;6,1;25;25;17,7;27,2;Panama;3,9;$76,4 ;6,2;8,7;$19.455;4,3;2,6;4.718,90;45,6
128;Papua New Guinea;PapuaNewGuinea;Asia-Pacific;140;30;53,2;0,1;20;0;25;0;67,3;0,4;76,2;7,5;59,9;6,4;71,9;-2,6;70,6;-2,1;85,6;0,6;25;-10;30;0;2,2;42;30;24,7;28,2;Papua New Guinea;7,5;$18,1 ;5,8;7,6;$2.399;2,5;5,3;-30,4;35,6
129;Paraguay;Paraguay;South and Central America / Caribbean;83;16;61,5;0,4;30;0;24;0;96,3;0,3;83,3;1,4;62,6;4,2;30,4;4,1;76,8;-1,5;76,2;-5,2;75;0;60;0;4,4;10;10;13,1;23,6;Paraguay;6,9;$58,3 ;4,4;7;$8.449;4,5;5;236,3;21,4
130;Peru;Peru;South and Central America / Caribbean;49;9;67,4;-0,3;40;0;38;0;78,5;-0,1;86,1;-2,4;67,8;0,1;62,9;-0,5;83,7;-0,2;87;0;70;0;60;0;1,5;30;30;18,6;21,5;Peru;31,4;$371,3 ;2,4;5,8;$11.817;4,2;3,2;7.606,60;20,7
131;Philippines;Philippines;Asia-Pacific;70;14;63,1;0,9;30;0;38;2;79;-0,1;89,6;0,3;63;7,7;57,1;-1,1;77,7;-1,1;76,4;1;60;0;60;0;4,3;32;30;13,3;18,6;Philippines;99,4;$692,2 ;6,1;6,3;$6.962;7,1;4,2;6.200,50;37,2
132;Poland;Poland;Europe;39;18;69,3;0,7;65;5;61;1;75,5;-6,6;46,5;-0,6;68,7;1,4;58;-2,4;85,2;3,9;88;0;75;5;70;0;1;32;19;32,7;42,2;Poland;38;$954,5 ;3,3;3;$25.105;9,2;0;13.882,80;48,8
133;Portugal;Portugal;Europe;64;30;65,1;-0,2;70;0;63;1;60,5;-0,6;24,8;-4;85,3;-2,2;43,5;0,6;85,7;2,9;88;0;70;0;60;0;1;48;23;33,4;50,1;Portugal;10,4;$280,4 ;0,9;-0,9;$26.975;14,2;-0,2;8.807,10;130,2
134;Qatar;Qatar;Middle East / North Africa;34;3;70,7;-0,1;65;-5;69;1;99,7;0;70,4;-1,5;71,4;0,9;70,7;-0,5;74,1;-5,6;81,8;0;45;0;60;10;4,1;0;0;5,2;31,4;Qatar;2,2;$320,5 ;6,1;9,7;$143.427;0,3;3;1.040,40;31,5
135;Romania;Romania;Europe;61;29;65,6;-1;35;-5;43;0;87,5;0,6;65,6;3,3;66,1;-3,7;65,1;-3,5;81,1;3,8;88;0;75;-5;50;0;1;16;16;27,2;33,8;Romania;19,9;$392,8 ;2,9;1,4;$19.712;7;1,1;3.234,00;40,4
136;Russia;Russia;Europe;153;42;50,6;-1,5;20;0;27;-1;82,2;-3,9;56,2;-1,6;72,2;-4,1;57,6;-1,3;62,9;-1;72,4;-2,6;25;0;30;0;6,3;13;20;34,8;38,2;Russia;143,7;$3.564,5 ;0,6;2,8;$24.805;5,1;7,8;20.957,70;17,9
137;Rwanda;Rwanda;Sub-Saharan Africa;71;4;63,1;-1,7;30;0;49;-4;80,1;-0,1;77,1;-2,1;60,5;1;82;-2,5;79,4;3,4;67,6;-13,2;65;0;40;0;8,7;30;30;13,9;27,6;Rwanda;11,1;$18,8 ;7;6,8;$1.698;0,6;1,8;267,7;28
138;Saint. Lucia;SaintLucia;South and Central America / Caribbean;38;4;70;-0,2;70;0;71;0;76,9;-0,8;70,6;4,8;77,6;2;76,2;-3,6;80,3;-5,2;72;0;65;0;40;0;9;30;30;22,6;31,3;St. Lucia;0,2;$2,0 ;-1,1;0;$11.594;;2,5;75,2;83,9
139;Saint. Vincent and the Grenadines;SaintVincentGrenadines;South and Central America / Caribbean;40;5;68,8;0,8;70;0;67;5;73,8;0,5;69,7;-5,6;77,6;6,8;74,5;-3,7;85,3;3;65,4;-3;65;5;40;0;12,3;32,5;33;21,7;31,8;St. Vincent and the Grenadines;0,1;$1,2 ;1,1;0,5;$10.778;;0,2;138,6;75,1
140;Samoa;Samoa;Asia-Pacific;69;13;63,5;1,6;60;0;52;14;78,9;-1,3;57,5;11;77,1;3,5;71,8;-6,6;82,5;1,3;70,6;-5,2;55;0;30;0;9,7;27;27;25,6;37,6;Samoa;0,2;$1,0 ;1,9;1,2;$5.180;;-1,2;22,9;54,978
141;São Tomé and Príncipe;SaoTomePrincipe;Sub-Saharan Africa;120;22;56,7;3,4;25;0;42;0;87,4;-0,4;70,1;28,7;65,9;0,8;46,1;0,3;67,6;-3,1;73;-2,2;60;10;30;0;8,5;20;25;15,2;31,6;São Tomé and Príncipe;0,2;$0,6 ;4,5;4,4;$3.153;;7;19,9;68,2
142;Saudi Arabia;SaudiArabia;Middle East / North Africa;78;8;62,1;0;40;0;49;3;99,7;0;56,8;-5,1;69,9;4,1;68,5;-4,2;69,2;0,8;77,8;1,4;40;0;50;0;3,6;2,5;2,5;4,3;38;Saudi Arabia;30,8;$1.605,7 ;3,6;5,3;$52.183;5,6;2,7;8.012,00;1,6
143;Senegal;Senegal;Sub-Saharan Africa;111;18;58,1;0,3;40;0;43;2;71,6;0,3;76,1;1,5;49,1;-5,5;42,4;2,9;84,9;1,9;73,8;-0,2;60;0;40;0;8,1;40;30;18,4;28,2;Senegal;14,5;$33,6 ;4,5;3,4;$2.311;10;-0,5;342,7;50,7
144;Serbia;Serbia;Europe;77;33;62,1;2,1;50;5;41;-1;84,3;1,9;44,1;17;60,2;2,4;66,2;-4,2;77,5;5,3;77,8;-0,4;70;-5;50;0;6,1;15;15;33,4;43,2;Serbia;7,2;$95,5 ;-1,8;0,3;$13.329;22,2;2,1;1.996,10;72,4
145;Seychelles;Seychelles;Sub-Saharan Africa;76;6;62,2;4,7;50;0;55;1;79,3;-0,5;62;2,6;66;-1,7;62,1;-1,8;79,7;3,7;83,4;39,4;55;5;30;0;3,3;15;33;27,5;35,6;Seychelles;0,1;$2,4 ;2,9;5,9;$25.607;;1,4;228,7;64,6
146;Sierra Leone;SierraLeone;Sub-Saharan Africa;142;33;52,3;0,6;10;0;31;1;81,2;0,4;92,6;5,1;49,9;-3,5;43,2;1,6;70,8;2,3;69,4;-0,8;55;0;20;0;10,3;30;30;8,8;15,7;Sierra Leone;6,2;$12,6 ;6;10,5;$2.027;3,3;8,3;439,9;38,8
147;Singapore;Singapore;Asia-Pacific;2;2;87,8;-1,6;90;0;84;-2;91,2;0;90,1;-3,7;95;-1,9;90,7;-6,2;81,8;-1,9;90;0;85;0;80;0;0;20;17;13,8;18,2;Singapore;5,5;$452,7 ;2,9;6,4;$82.762;3;1;67.523,00;98,8
148;Slovak Republic;Slovakia;Europe;56;25;66,6;-0,6;50;0;50;3;80,1;-0,7;49,5;-5,6;68,4;-1,2;55;-1,5;79,5;4;88;0;75;-5;70;0;1;25;22;29,6;41;Slovakia;5,4;$152,6 ;2,4;2,6;$28.175;13,3;-0,1;478,7;54
149;Slovenia;Slovenia;Europe;90;37;60,6;0,3;60;0;58;1;58,6;0,5;0;0;82;0,8;55,4;-1,7;84,3;3;88;0;70;0;50;0;1;50;17;36,8;59,9;Slovenia;2,1;$61,1 ;2,6;0,2;$29.658;9,5;0,2;1.564,30;82,9
150;Solomon Islands;SolomonIslands;Asia-Pacific;161;37;47;0;30;0;25;0;61,4;0,3;25,2;-0,5;68,5;0,8;66,2;-2,4;75,5;1,2;73;0;15;0;30;0;8,5;40;30;36,9;49,9;Solomon Islands;0,6;$1,1 ;1,5;5,8;$1.895;3,9;5,1;23,7;13,4
151;South Africa;SouthAfrica;Sub-Saharan Africa;80;7;61,9;-0,7;50;0;44;2;70,1;0,6;69,9;1,7;69,7;-3,3;58,7;-2,9;74,6;-0,3;77;0,4;45;-5;60;0;4;40;28;24,7;31,7;South Africa;54;$704,5 ;1,5;2,4;$13.046;25,1;6,1;5.712,30;45,9
152;Spain;Spain;Europe;43;20;68,5;0,9;70;0;60;1;58,3;5,2;41,1;1,3;76;-1,5;51,7;-0,9;84,7;3,4;88;0;85;0;70;0;1;47;30;32,6;44,3;Spain;46,5;$1.566,4 ;1,4;-0,5;$33.711;24,7;-0,2;22.904,10;97,7
153;Sri Lanka;SriLanka;Asia-Pacific;93;17;59,9;1,3;40;5;38;1;85,1;0,1;90;1,6;70,3;-2,2;56,5;-2,2;71,5;3,3;72,4;0,8;35;5;40;0;6,3;24;28;11,6;18,3;Sri Lanka;21;$217,4 ;7,4;7,5;$10.372;4,6;3,3;944,2;75,876
154;Sudan;Sudan;Sub-Saharan Africa;;;;;;;11;0;86,4;0;94,8;0,3;48,8;-0,2;43,5;-0,3;46,7;-6,1;50,6;-5;10;-5;;;14,7;10;35;6,1;13,1;Sudan;37,3;$159,1 ;3,4;1,1;$4.267;14,8;36,9;1.277,40;74,2
155;Suriname;Suriname;South and Central America / Caribbean;134;23;53,8;-0,4;30;-5;36;0;69,4;0,1;70,3;-3,5;48,8;6,6;76,3;-5,6;78,7;1,5;68,4;2,2;30;0;30;0;10,8;38;36;17,9;31,5;Suriname;0,6;$9,2 ;2,9;4,3;$16.623;5,6;3,4;4,2;34,1
156;Swaziland;Swaziland;Sub-Saharan Africa;94;11;59,7;-0,2;40;0;43;4;70,9;-5,5;64,9;-3,7;58,6;-1,9;65,8;-3,5;74,5;0,6;88,8;12,8;50;-5;40;0;0,6;33;27,5;32,6;34,2;Swaziland;1,1;$8,6 ;1,7;1,5;$7.797;22,3;5,8;12,7;16,2
157;Sweden;Sweden;Europe;26;14;72;-0,7;90;0;87;-2;44,4;1,4;14,9;-4,3;89,7;1,8;53,5;-0,5;87,1;1,6;88;0;85;-5;80;0;1;57;22;42,8;53,2;Sweden;9,7;$448,2 ;2,1;2,4;$45.986;8;-0,2;10.036,20;41,5
158;Switzerland;Switzerland;Europe;4;1;81;0,5;90;0;86;1;70,9;0,6;66,3;1,2;82,2;4,1;72,1;-3,2;87,8;1,5;90;0;85;0;80;0;0;40;24;27,1;33,5;Switzerland;8,1;$472,8 ;2;2;$58.087;4,5;0;21.914,30;46,1
159;Syria;Syria;Middle East / North Africa;;;;;10;0;20;3;;;;;62,4;5,1;46,9;-2,2;42,7;;56,6;;0;0;20;0;14,2;22;28;;;Syria;18,1;$73,00 ;0,4;;$4.020 ;;29,2;;
160;Taiwan ;Taiwan;Asia-Pacific;14;5;74,7;-0,4;70;0;61;0;76,1;-4,3;88,7;1,6;93,2;0,8;53,8;-1,4;83,2;-0,1;86,4;0;75;0;60;0;1,8;45;17;8,7;19,4;Taiwan;23,4;$1.074,5 ;3,7;4,5;$45.854;4;1,2;2.839,00;37,6
161;Tajikistan;Tajikistan;Asia-Pacific;149;33;51,3;-1,4;20;0;23;1;91,6;-0,5;76,9;-5;61,1;-4,3;47,3;0,9;69,8;0,2;68,6;-6;25;0;30;0;5,7;13;15;21;27,7;Tajikistan;8,3;$22,3 ;6,7;7,1;$2.688;10,9;6,1;262,7;28,2
162;Tanzania;Tanzania;Sub-Saharan Africa;110;17;58,5;1;25;-5;31;-2;79,2;-0,7;88,4;9,1;47,5;2,5;62,6;1,2;67,7;-2;73,2;6,2;60;0;50;0;8,4;30;30;16,8;19,7;Tanzania;47,7;$127,1 ;7,2;6,8;$2.667;3,1;6,1;2.141,60;33,2
163;Thailand;Thailand;Asia-Pacific;67;11;63,9;1,5;40;0;38;3;81,1;-0,4;82,2;0,8;76,3;3,8;62,5;-1;70,9;1;77,6;2,2;50;5;60;0;6,2;35;20;16,2;24,3;Thailand;68,7;$985,5 ;0,7;3,6;$14.354;0,9;1,9;12.565,70;47,2
164;Timor-Leste;TimorLeste;Asia-Pacific;167;40;45,8;0,3;20;0;28;-2;64,7;0;0;0;68;8,2;66;-6;70,9;2,2;80;0,4;40;0;20;0;2,5;10;10;318,1;110,5;Timor-Leste;1,2;$6,1 ;6,6;8,8;$4.928;4,7;2,5;33,9;0
165;Togo;Togo;Sub-Saharan Africa;135;29;53,6;0,1;30;0;29;0;68,7;-1;80,4;2,3;51,4;-0,5;46,2;2,8;79,5;-0,9;71,2;3,4;50;0;30;0;9,4;45;27;19,5;25,5;Togo;7;$10,1 ;5,2;5,1;$1.450;6,9;0,1;292,1;54,7
166;Tonga;Tonga;Asia-Pacific;95;18;59,6;0,3;25;5;28,6;0;86,9;-0,3;76,3;-2,7;76,4;2,3;86,1;-6;77,4;3,9;79,6;1,2;40;0;20;0;5,2;20;25;17;28,1;Tonga;0,1;$0,5 ;2,3;1,1;$4.883;;1,3;56;42,9
167;Trinidad and Tobago;TrinidadTobago;South and Central America / Caribbean;73;14;62,9;-1,2;50;0;38;0;79,4;0,4;62,3;-7;69,5;4,2;72,8;-3,8;68,5;-5,8;78,6;0;60;0;50;0;5,7;25;25;28,4;35,5;Trinidad and Tobago;1,4;$43,4 ;1,1;0,8;$32.139;4;7;2.423,00;37,6
168;Tunisia;Tunisia;Middle East / North Africa;114;11;57,6;-0,1;40;0;40;-1;74;-0,3;73,4;2,6;81,3;0,1;64;-5,1;75,6;0,8;62,2;1;35;0;30;0;13,9;35;30;21,7;29,8;Tunisia;11;$124,3 ;2,3;1,8;$11.300;13,3;4,9;1.060,30;47,5
169;Turkey;Turkey;Europe;79;34;62,1;-1,1;40;-5;45;-5;75,2;-0,9;55,6;-2;65,4;4,4;48,6;-1,6;71,5;-0,9;84,4;-0,2;75;0;60;0;2,8;35;20;29,3;38,5;Turkey;76,9;$1.508,1 ;2,9;5,4;$19.610;9,2;8,9;12.146,00;33,5
